,timestamp,count of registered resources,count of fully available resources,count of resources pending transcoding,count of available versions
0,1418922533093760000,27,0,20,9
1.209060352,1418922534302820000,27,0,20,9
2.390948864,1418922535484710000,27,0,20,9
3.563916288,1418922536657670000,27,0,20,9
4.76737664,1418922537861130000,27,0,20,9
5.95178752,1418922539045540000,27,0,20,9
7.163456256,1418922540257210000,27,0,20,9
8.356770816,1418922541450530000,27,0,20,9
9.570458624,1418922542664220000,27,0,19,10
10.751278592,1418922543845040000,27,0,19,11
11.935989504,1418922545029750000,27,0,19,11
13.135144704,1418922546228900000,27,0,19,11
14.331779072,1418922547425540000,27,0,19,11
15.524937728,1418922548618690000,27,0,19,11
16.724750592,1418922549818510000,27,0,19,11
17.907085568,1418922551000840000,27,0,19,11
19.109161472,1418922552202920000,27,0,19,11
20.317094912,1418922553410850000,27,0,19,11
21.526752,1418922554620510000,27,0,19,11
22.705538304,1418922555799300000,27,0,19,11
23.886400768,1418922556980160000,27,0,19,11
25.079417856,1418922558173170000,28,0,20,11
26.285488128,1418922559379250000,29,0,21,11
27.483751168,1418922560577510000,30,0,22,11
28.683053568,1418922561776810000,30,0,22,11
29.889503488,1418922562983260000,31,0,23,11
31.15743232,1418922564251190000,31,0,23,11
32.367457792,1418922565461210000,31,0,23,11
33.591526144,1418922566685280000,31,0,23,11
34.790227456,1418922567883980000,32,0,23,12
36.058993664,1418922569152750000,32,0,23,12
37.376508416,1418922570470270000,34,0,25,12
38.589411328,1418922571683170000,34,0,25,12
39.785643776,1418922572879400000,34,0,25,12
40.985268736,1418922574079030000,34,0,25,13
42.190463488,1418922575284220000,34,0,25,13
43.41414656,1418922576507900000,35,0,26,13
44.608601856,1418922577702360000,35,0,26,13
45.856776704,1418922578950530000,35,0,26,13
47.092875264,1418922580186630000,35,0,26,13
48.32119296,1418922581414950000,37,0,28,13
49.547438336,1418922582641200000,39,0,30,13
50.766990592,1418922583860750000,40,0,31,13
51.958332672,1418922585052090000,41,0,32,13
53.1968128,1418922586290570000,42,0,33,13
54.398131456,1418922587491890000,43,0,34,14
55.618336768,1418922588712090000,43,0,34,14
56.839922176,1418922589933680000,43,0,34,14
58.047361792,1418922591141120000,44,0,35,14
59.28959232,1418922592383350000,44,0,35,14
60.526112256,1418922593619870000,45,0,36,14
61.748146176,1418922594841900000,45,0,36,14
62.987216128,1418922596080970000,45,0,36,14
64.207477504,1418922597301230000,46,0,37,15
65.472423168,1418922598566180000,46,0,37,15
66.738112768,1418922599831870000,46,0,37,15
67.95136512,1418922601045120000,46,0,37,15
69.150162176,1418922602243920000,47,0,38,15
70.370149376,1418922603463910000,47,0,38,15
71.578897408,1418922604672650000,48,0,39,15
72.801531392,1418922605895290000,50,0,41,15
74.007721216,1418922607101480000,50,0,41,15
75.215976448,1418922608309730000,50,0,41,15
76.46515584,1418922609558910000,51,0,42,15
77.678039296,1418922610771800000,51,0,42,15
78.883069952,1418922611976830000,51,0,42,15
80.081270016,1418922613175030000,51,0,42,15
81.308263424,1418922614402020000,51,0,42,15
82.508384,1418922615602140000,52,0,43,15
83.72146688,1418922616815220000,53,0,44,15
84.938758144,1418922618032520000,53,0,44,15
86.191638272,1418922619285400000,53,0,44,15
87.450427904,1418922620544190000,53,0,44,15
88.67514624,1418922621768900000,54,0,45,15
89.931459328,1418922623025220000,54,0,44,16
91.188436736,1418922624282190000,54,0,43,17
92.458912768,1418922625552670000,54,0,43,17
93.696691712,1418922626790450000,54,0,43,17
95.010971136,1418922628104730000,55,0,44,17
96.280111616,1418922629373870000,55,0,44,17
97.51930624,1418922630613060000,55,0,43,18
98.7885568,1418922631882310000,55,0,43,18
100.03409664,1418922633127850000,55,0,43,18
101.243858944,1418922634337620000,55,0,43,18
102.47181824,1418922635565580000,55,0,43,18
103.684645888,1418922636778400000,55,1,43,19
104.93284352,1418922638026600000,56,1,44,19
106.18497536,1418922639278730000,58,1,45,20
107.446831872,1418922640540590000,58,1,45,20
108.675904,1418922641769660000,58,1,45,20
109.893150208,1418922642986910000,59,1,46,20
111.116816128,1418922644210570000,59,1,46,20
112.337702656,1418922645431460000,59,1,46,20
113.582386432,1418922646676140000,60,1,47,20
114.801624064,1418922647895380000,60,1,47,21
116.062117376,1418922649155870000,60,1,47,21
117.360328704,1418922650454090000,61,1,48,21
118.660623104,1418922651754380000,61,1,48,21
119.882625536,1418922652976380000,61,1,48,21
121.091510784,1418922654185270000,61,1,48,21
122.318104064,1418922655411860000,62,1,49,21
123.613745664,1418922656707500000,63,1,50,21
124.856247552,1418922657950000000,64,1,51,21
126.078260224,1418922659172020000,64,1,51,21
127.3317952,1418922660425550000,65,1,52,21
128.627951104,1418922661721710000,65,1,52,22
129.871420928,1418922662965180000,65,1,52,22
131.157532416,1418922664251290000,65,1,52,22
132.429135872,1418922665522890000,65,1,51,23
133.694327552,1418922666788080000,65,1,51,23
134.942623744,1418922668036380000,65,1,51,23
136.182449152,1418922669276210000,65,1,51,23
137.422583552,1418922670516340000,65,1,50,24
138.679382016,1418922671773140000,65,1,50,24
139.920972288,1418922673014730000,65,1,50,24
141.152673792,1418922674246430000,65,1,50,24
142.387933952,1418922675481690000,65,1,50,24
143.659098368,1418922676752860000,65,1,50,24
144.888355072,1418922677982110000,66,1,51,24
146.138396672,1418922679232150000,67,1,52,24
147.377079808,1418922680470840000,67,1,52,24
148.594235392,1418922681687990000,67,1,52,24
149.814334208,1418922682908090000,67,1,52,24
151.024201728,1418922684117960000,67,1,52,24
152.26114304,1418922685354900000,67,1,52,24
153.499833088,1418922686593590000,67,1,52,24
154.71069568,1418922687804450000,67,1,52,24
155.967614976,1418922689061370000,67,1,52,24
157.206011136,1418922690299770000,67,1,52,24
158.474012672,1418922691567770000,67,1,52,24
159.752218368,1418922692845980000,67,1,52,24
160.969436672,1418922694063190000,67,1,52,24
162.188300544,1418922695282060000,67,1,52,24
163.448096512,1418922696541850000,67,1,52,24
164.705913856,1418922697799670000,68,1,53,24
165.926942976,1418922699020700000,69,1,54,24
167.15557632,1418922700249330000,69,1,54,24
168.37532544,1418922701469080000,69,1,54,24
169.595068416,1418922702688830000,69,1,54,24
170.818571264,1418922703912330000,69,1,54,24
