timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,Latency
1418918685079,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 7: http://<EOF>/<EOF>,Thread Group 1-1,text,false,927,3,3,0
1418918686829,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 7: http://<EOF>/<EOF>,Thread Group 1-2,text,false,927,3,3,0
1418918690348,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 7: http://<EOF>/<EOF>,Thread Group 1-4,text,false,927,4,4,0
1418918690727,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 7: http://<EOF>/<EOF>,Thread Group 1-3,text,false,927,4,4,0
1418918699649,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 7: http://<EOF>/<EOF>,Thread Group 1-2,text,false,927,6,6,0
1418918700716,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 7: http://<EOF>/<EOF>,Thread Group 1-6,text,false,927,6,6,0
1418918702804,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 7: http://<EOF>/<EOF>,Thread Group 1-6,text,false,927,6,6,0
1418918703069,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 7: http://<EOF>/<EOF>,Thread Group 1-3,text,false,927,6,6,0
1418918706184,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 7: http://<EOF>/<EOF>,Thread Group 1-5,text,false,927,7,7,0
1418918709490,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 7: http://<EOF>/<EOF>,Thread Group 1-6,text,false,927,7,7,0
1418918710862,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 7: http://<EOF>/<EOF>,Thread Group 1-5,text,false,927,7,7,0
1418918712062,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 7: http://<EOF>/<EOF>,Thread Group 1-3,text,false,927,8,8,0
1418918718664,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 7: http://<EOF>/<EOF>,Thread Group 1-7,text,false,927,9,9,0
1418918718905,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 7: http://<EOF>/<EOF>,Thread Group 1-2,text,false,927,9,9,0
1418918719258,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 7: http://<EOF>/<EOF>,Thread Group 1-5,text,false,927,9,9,0
1418918720645,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 7: http://<EOF>/<EOF>,Thread Group 1-5,text,false,927,9,9,0
1418918721011,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 7: http://<EOF>/<EOF>,Thread Group 1-4,text,false,927,9,9,0
1418918723099,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 7: http://<EOF>/<EOF>,Thread Group 1-3,text,false,927,9,9,0
1418918723303,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 7: http://<EOF>/<EOF>,Thread Group 1-5,text,false,927,9,9,0
1418918727437,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 7: http://<EOF>/<EOF>,Thread Group 1-6,text,false,927,10,10,0
1418918728491,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 7: http://<EOF>/<EOF>,Thread Group 1-3,text,false,927,9,9,0
1418918728913,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 7: http://<EOF>/<EOF>,Thread Group 1-7,text,false,927,8,8,0
1418918731781,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 7: http://<EOF>/<EOF>,Thread Group 1-4,text,false,927,7,7,0
1418918732843,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 7: http://<EOF>/<EOF>,Thread Group 1-1,text,false,927,6,6,0
1418918734403,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 7: http://<EOF>/<EOF>,Thread Group 1-8,text,false,927,5,5,0
1418918736306,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 7: http://<EOF>/<EOF>,Thread Group 1-5,text,false,927,4,4,0
1418918738422,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 7: http://<EOF>/<EOF>,Thread Group 1-10,text,false,927,3,3,0
1418918742858,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 7: http://<EOF>/<EOF>,Thread Group 1-9,text,false,927,2,2,0
1418918756562,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 7: http://<EOF>/<EOF>,Thread Group 1-2,text,false,927,1,1,0
1418918871812,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 7: http://<EOF>/<EOF>,Thread Group 1-1,text,false,927,2,2,0
1418918873956,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 7: http://<EOF>/<EOF>,Thread Group 1-2,text,false,927,3,3,0
1418918875038,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 7: http://<EOF>/<EOF>,Thread Group 1-1,text,false,927,3,3,0
1418918882385,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 7: http://<EOF>/<EOF>,Thread Group 1-4,text,false,927,4,4,0
1418918886206,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 7: http://<EOF>/<EOF>,Thread Group 1-3,text,false,927,4,4,0
1418918889006,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 7: http://<EOF>/<EOF>,Thread Group 1-2,text,false,927,3,3,0
1418918892283,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 7: http://<EOF>/<EOF>,Thread Group 1-4,text,false,927,2,2,0
1418918895743,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 7: http://<EOF>/<EOF>,Thread Group 1-1,text,false,927,1,1,0
1418919004331,2455,HTTP Request,200,OK,Thread Group 1-1,bin,true,5511377,2,2,274
1418919014329,3643,HTTP Request,200,OK,Thread Group 1-3,bin,true,5511381,4,4,44
1418919014639,5065,HTTP Request,200,OK,Thread Group 1-2,bin,true,5511381,4,4,73
1418919017270,4616,HTTP Request,200,OK,Thread Group 1-4,bin,true,5511381,4,4,105
1418919021265,4133,HTTP Request,200,OK,Thread Group 1-3,bin,true,5511381,5,5,45
1418919020428,5071,HTTP Request,200,OK,Thread Group 1-2,bin,true,5511381,5,5,57
1418919027764,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: The target server failed to respond,Thread Group 1-4,text,false,1919,5,5,0
1418919026155,4320,HTTP Request,200,OK,Thread Group 1-5,bin,true,5511381,6,6,88
1418919030580,1,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: The target server failed to respond,Thread Group 1-1,text,false,1919,6,6,0
1418919029666,2892,HTTP Request,200,OK,Thread Group 1-3,bin,true,5511381,6,6,54
1418919031144,3666,HTTP Request,200,OK,Thread Group 1-1,bin,true,5511377,7,7,215
1418919035175,2341,HTTP Request,200,OK,Thread Group 1-5,bin,true,5511480,7,7,3
1418919034513,4635,HTTP Request,200,OK,Thread Group 1-7,bin,true,5511381,7,7,107
1418919043980,1,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: The target server failed to respond,Thread Group 1-1,text,false,1919,8,8,0
1418919043271,2884,HTTP Request,200,OK,Thread Group 1-6,bin,true,5511381,9,9,42
1418919048332,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: The target server failed to respond,Thread Group 1-2,text,false,1919,9,9,0
1418919050980,1,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: The target server failed to respond,Thread Group 1-7,text,false,1919,9,9,0
1418919048671,2449,HTTP Request,200,OK,Thread Group 1-4,bin,true,5511381,9,9,43
1418919051585,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: The target server failed to respond,Thread Group 1-3,text,false,1919,9,9,0
1418919049666,3044,HTTP Request,200,OK,Thread Group 1-2,bin,true,5511381,10,10,43
